id,C5,C6
BESC-334,35.501,43.074
GW-10989,33.687,40.452
GW-9960,33.284,40.067
GW-9838,33.245,41.121
BESC-439,33.225,40.602
KTMC-12-3,32.611,39.054
BESC-300,32.466,36.043
HOMB-21-4,32.465,39.831
BESC-324,32.399,37.401
BESC-376,32.211,38.611
BESC-275,31.858,35.663
BESC-35,31.857,37.561
BESC-193,31.848,38.246
BESC-162,31.801,36.071
BESC-74,31.797,37.188
BESC-163,31.749,37.245
BESC-247,31.731,36.046
GW-9905,31.709,36.655
BESC-269,31.644,38.503
BESC-901,31.559,38.625
GW-7984,31.554,37.127
BESC-868,31.55,35.898
GW-9813,31.546,36.803
GW-7982,31.496,36.641
BESC-247,31.462,36.975
GW-9597,31.375,35.662
GW-9890,31.352,34.933
GW-9778,31.299,34.94
CHWH-27-4,31.271,32.442
BESC-313,31.255,36.359
GW-9847,31.251,38.549
KLNB-20-3,31.237,34.061
GW-9888,31.177,33.835
GW-10985,31.153,34.663
GW-9580,31.114,36.725
GW-10984,31.104,37.234
GW-9855,31.05,34.584
BESC-278,30.957,35.343
BESC-367,30.949,34.903
BESC-436,30.924,35.264
BESC-338,30.922,36.094
BESC-342,30.92,33.332
BESC-395,30.843,34.391
BESC-81,30.808,35.442
GW-9910,30.785,35.539
BESC-318,30.784,35.951
GW-9823,30.719,35.863
BESC-215,30.7,34.32
HARA-26-1,30.675,32.127
BESC-391,30.654,33.574
BESC-382,30.608,35.587
BESC-327,30.575,33.584
GW-9837,30.572,34.849
GW-9821,30.568,33.102
BESC-456,30.53,34.668
BESC-442,30.526,33.159
BESC-108,30.523,34.733
GW-10983,30.523,34.205
BESC-233,30.516,32.445
HARC-26-1,30.495,33.385
BESC-209,30.491,32.994
BESC-100,30.452,34.447
BESC-825,30.42,33.987
BESC-404,30.402,32.19
BESC-113,30.397,36.053
YALE-27-2,30.394,34.437
BESC-443,30.381,33.935
CNYH-28-4,30.362,34.062
BESC-225,30.352,34.583
BESC-470,30.334,37.165
GW-11053,30.314,35.362
GW-11038,30.3,34.758
LILA-26-3,30.3,32.967
BESC-896,30.29,33.834
BESC-305,30.262,35.161
BESC-398,30.247,34.963
BESC-105,30.233,34.738
BESC-307,30.228,34.812
GW-9762,30.223,32.901
GW-11026,30.223,32.711
GW-7994,30.199,35.012
HOPF-27-1,30.187,34.612
LILC-26-3,30.185,31.686
BESC-230,30.176,33.279
BESC-907,30.142,35.138
BESC-98,30.137,34.705
BESC-252,30.13,33.146
GW-9898,30.1,33.373
GW-9832,30.081,32.671
BESC-222,30.08,33.9
BESC-205,30.079,33.172
KLND-20-3,30.078,33.59
BESC-812,30.066,34.824
HOPG-27-5,30.062,32.414
BESC-434,30.039,35.027
BESC-886,30.03,33.996
GW-9781,30.029,35.744
BESC-465,30.027,33.987
BESC-76,30.019,31.842
NHTA-27-4,30.017,31.978
BESC-911,30.014,32.514
BESC-42,30.01,34.347
GW-7977,30.009,34.547
BESC-453,29.992,34.701
BESC-841,29.971,33.571
BESC-281,29.962,32.261
BESC-157,29.95,34.646
GW-11039,29.944,34.609
GW-7979,29.942,32.915
BESC-432,29.914,32.591
BESC-287,29.908,34.485
BESC-52,29.907,34.331
HOMD-21-2,29.893,32.361
BESC-269,29.889,34.906
HARA-26-2,29.871,32.378
BESC-867,29.856,32.245
BESC-349,29.852,32.73
GW-9966,29.849,35.487
BESC-297,29.833,33.99
