id,SG_CLA
BESC-100,1.723
BESC-101,1.823
BESC-102,1.355
BESC-103,1.951
BESC-104,2.139
BESC-105,1.571
BESC-107,2.007
BESC-108,1.768
BESC-109,1.795
BESC-11,1.96
BESC-110,1.931
BESC-112,1.751
BESC-113,1.686
BESC-114,1.891
BESC-115,1.796
BESC-117,1.777
BESC-118,1.752
BESC-12,1.98
BESC-120,2.149
BESC-121,1.724
BESC-123,1.581
BESC-124,1.804
BESC-125,1.502
BESC-126,1.793
BESC-127,1.894
BESC-128,1.754
BESC-129,1.976
BESC-13,1.719
BESC-130,1.64
BESC-131,1.548
BESC-133,1.889
BESC-134,1.892
BESC-135,1.625
BESC-136,1.868
BESC-138,1.625
BESC-139,2.008
BESC-14,1.72
BESC-140,1.778
BESC-141,1.97
BESC-144,1.742
BESC-145,1.871
BESC-146,1.94
BESC-147,1.731
BESC-15,1.806
BESC-150,2.059
BESC-151,1.766
BESC-152,1.719
BESC-154,1.876
BESC-155,1.936
BESC-156,1.791
BESC-157,1.994
BESC-159,2.094
BESC-16,1.738
BESC-161,1.869
BESC-162,1.65
BESC-163,1.706
BESC-165,2.042
BESC-166,1.72
BESC-167,1.945
BESC-168,1.706
BESC-169,1.739
BESC-17,1.963
BESC-170,1.918
BESC-171,1.651
BESC-172,1.71
BESC-173,1.754
BESC-174,1.778
BESC-176,1.881
BESC-178,1.88
BESC-179,1.909
BESC-18,1.75
BESC-180,1.649
BESC-181,1.734
BESC-182,1.553
BESC-183,1.892
BESC-184,1.669
BESC-185,2.132
BESC-186,1.829
BESC-187,1.979
BESC-189,1.95
BESC-19,1.823
BESC-190,1.9
BESC-191,1.92
BESC-192,1.897
BESC-193,1.602
BESC-194,1.957
BESC-195,2.078
BESC-196,1.962
BESC-197,1.637
BESC-198,1.704
BESC-199,1.734
BESC-2,1.588
BESC-20,1.859
BESC-200,1.777
BESC-201,1.933
BESC-202,1.612
BESC-203,2.103
BESC-204,2.088
BESC-205,1.991
BESC-206,2.048
BESC-207,1.682
BESC-208,1.751
BESC-209,1.759
BESC-21,1.984
BESC-211,2.098
BESC-213,2.11
BESC-214,2.155
BESC-215,1.711
BESC-216,2.054
BESC-217,1.833
BESC-218,1.876
BESC-219,1.87
BESC-22,1.883
BESC-220,2.241
BESC-222,2.059
BESC-225,1.914
BESC-226,2.01
BESC-228,1.949
BESC-229,1.801
BESC-23,1.828
BESC-230,1.896
BESC-231,1.494
BESC-232,1.851
BESC-233,1.943
BESC-234,1.916
BESC-235,1.857
BESC-236,2.067
BESC-238,1.818
BESC-239,1.752
BESC-24,1.719
BESC-241,1.697
BESC-242,1.809
BESC-243,1.836
BESC-245,1.9
BESC-246,1.596
BESC-247,1.44
BESC-248,1.45
BESC-249,1.707
BESC-25,1.991
BESC-250,1.756
BESC-251,2.055
BESC-252,1.914
BESC-253,1.927
BESC-254,1.823
BESC-255,1.816
BESC-256,1.923
BESC-257,1.65
BESC-258,1.827
BESC-259,1.749
BESC-26,1.95
BESC-260,1.965
BESC-261,1.687
BESC-264,1.778
BESC-265,1.785
BESC-266,1.799
BESC-267,2.001
BESC-269,1.306
BESC-27,1.796
BESC-270,1.924
BESC-271,1.847
BESC-272,2.034
BESC-274,1.784
BESC-275,1.861
BESC-276,1.63
BESC-277,1.738
BESC-278,1.906
BESC-279,1.837
BESC-28,1.526
BESC-280,1.854
BESC-281,2.059
BESC-282,2.075
BESC-284,1.827
BESC-285,1.739
BESC-286,1.885
BESC-287,1.519
BESC-288,1.675
BESC-289,1.445
BESC-290,1.63
BESC-291,2.003
BESC-292,1.678
BESC-293,1.894
BESC-294,1.865
BESC-295,1.962
BESC-296,1.684
BESC-297,1.658
BESC-299,1.91
BESC-30,1.611
BESC-300,2.015
BESC-301,1.914
BESC-302,1.868
BESC-303,1.656
BESC-304,1.636
BESC-305,1.719
BESC-306,1.769
BESC-307,2.017
BESC-308,1.826
BESC-309,2.015
BESC-310,1.852
BESC-311,1.831
BESC-312,1.981
BESC-313,2.003
BESC-315,1.772
BESC-316,1.867
BESC-317,1.98
BESC-318,1.975
BESC-319,2.034
BESC-321,1.747
BESC-322,1.715
BESC-324,1.615
BESC-325,1.831
BESC-327,1.776
BESC-328,1.487
BESC-329,1.739
BESC-33,1.934
BESC-330,1.952
BESC-331,1.891
BESC-332,1.769
BESC-333,1.761
BESC-334,1.81
BESC-335,2.106
BESC-337,1.68
BESC-338,1.776
BESC-339,1.616
BESC-341,1.971
BESC-342,1.904
BESC-344,1.809
BESC-345,2.081
BESC-346,1.784
BESC-347,1.919
BESC-348,1.904
BESC-349,2.148
BESC-35,1.727
BESC-350,1.971
BESC-351,2.118
BESC-352,1.988
BESC-353,1.529
BESC-356,1.621
BESC-357,1.881
BESC-358,2.132
BESC-359,1.656
BESC-36,1.77
BESC-360,1.666
BESC-361,2.054
BESC-362,1.779
BESC-363,1.905
BESC-364,1.803
BESC-365,1.818
BESC-366,2.075
BESC-367,1.735
BESC-368,1.931
BESC-369,1.817
BESC-37,1.948
BESC-370,1.985
