id,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma.25phifactor,thetafactor,betaPSII,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept.1,der_atPhiPSIIend
BESC-103,21.167147,0.663618,0,6.129097,0,0.92728,0.957157,11.048104,0.03221,5.262081,-0.36766,0.034367,1.80E-05,0.073454,0.74294,-0.002236,-4.00E-05
BESC-106,72.890424,3.098944,2.245975,0,0.272381,1.003076,0.861698,62.974905,0.049633,11.002465,-3.361527,0.056441,9.40E-05,0.449977,5.926827,-3.475833,0
BESC-107,66.750754,4.718437,2.385527,0,1.872056,1.053862,0.906018,126.00049,0.031642,7.203049,-5.188118,0.052064,0.00024,0.51033,8.40332,-4.494505,0
BESC-11,104.182228,1.94673,1.055914,0,1.56279,1.016411,0.913932,33.746284,0.061454,15.376752,-2.161258,0.066523,0.000238,0.509921,7.206651,-4.523835,0
BESC-110,46.637279,1.084882,2.547,0,0.315096,1.06272,0.955369,26.037262,0.050965,7.730693,-1.316046,0.04936,0,-0.089248,0.784807,-0.000987,-0.000254
BESC-113,45.826385,0.664604,0,2.699929,0,1.034205,0.845477,16.888712,0.05593,10.552593,-0.985504,0.060835,8.50E-05,0.402911,6.178621,-3.551325,0
BESC-118,68.138078,4.627835,1.694817,0,2.147879,1.048282,0.922814,113.539216,0.033408,7.61352,-4.839713,0.053174,0.000251,-0.10571,0.780602,-0.000726,-0.000271
BESC-119,150.221791,1.656479,1.838016,0,3.116533,1.052605,0.565508,28.348032,0.063076,8.452699,-1.980492,0.077066,8.00E-06,0.006989,0.754376,-0.000981,-0.000203
BESC-12,129.686653,1.200228,1.042329,0,5.549646,1.098824,0.85562,20.736611,0.061411,12.437416,-1.336001,0.067524,0.00014,0.499665,4.905602,-1.948513,0
BESC-126,59.025181,2.146161,1.754959,0,1.312083,1.024443,0.967153,52.259092,0.046132,7.660999,-2.806969,0.061973,3.70E-05,0.508038,3.365809,-1.564736,0
BESC-13,18.731123,1.104698,3.094061,3.945694,0,0.735078,1.168821,20.005815,0.037229,4.076382,-0.815369,0.044489,1.00E-06,0.054469,0.72204,-0.002731,-2.00E-05
BESC-133,23.915141,1.4641,0,0,0,0.894073,0.903704,29.635244,0.041045,4.22087,-1.404207,0.054306,0,0.054585,0.682076,-0.002498,-2.10E-05
BESC-134,31.132283,5.294505,17.305487,0,0,0.968714,0.947792,227.813471,0.014089,2.82887,-5.838945,0.041786,0.000107,0.39458,6.47944,-3.509701,0
BESC-135DUP,67.667929,1.855029,1.158849,0,1.254319,1.098431,0.826061,75.192568,0.03287,9.400222,-2.766343,0.040862,5.00E-04,-0.500785,0.776582,-0.000425,-0.000285
BESC-14,25.099251,0.980323,14.922493,0,0,0.867851,0.329851,27.469566,0.027033,2.239173,-0.878357,0.03747,0,0.18179,9.13581,-5.926933,0
BESC-141,41.790787,0,1.412549,0,0.962834,0.872693,0.853207,NA,0.018348,8.167087,0.615743,0.017853,0.000283,-0.485806,0.646541,-0.000458,-0.000282
BESC-144,9.282505,0.07966,0,0,0,0.783859,0.780948,8.487302,0.028095,2.332846,-0.250899,0.031077,0,0.052086,0.568512,-0.002087,-1.60E-05
BESC-145,58.406537,1.007295,2.544075,0,0.207251,0.927093,0.908905,23.293299,0.050118,11.121632,-1.203513,0.053152,7.70E-05,-0.041763,0.708957,-0.000804,-0.000223
BESC-148,50.622374,0.915431,0,0,0,1.090023,0.1,45.004344,0.0337,2.361059,-2.113429,0.063182,0,0.065137,0.786553,-0.001363,-0.000142
BESC-149,76.79162,2.590821,1.921397,0,0.391713,1.000717,0.962938,51.22869,0.058047,12.022085,-3.332912,0.072479,3.00E-06,0.468374,2.193728,-0.575086,0
BESC-158,74.782564,3.852447,1.147105,0,1.746471,1.020789,0.901198,82.528041,0.043585,10.808971,-4.028931,0.053757,0.000255,-0.101346,0.746816,-0.00072,-0.00026
BESC-159,29.556025,1.294565,0,6.342156,0,1.001602,0.704935,35.455569,0.037076,4.378871,-1.526132,0.049579,2.00E-06,0.304596,7.290506,-4.168911,0
BESC-161,115.8779,1.444452,1.24824,0,1.451877,1.051247,0.86614,22.565549,0.06893,15.72785,-1.627511,0.075392,0.000305,-0.142071,0.766571,-0.000646,-0.000275
BESC-169,36.748167,1.25189,0,0,0,1.059498,0.8184,33.831393,0.04796,6.244337,-1.843417,0.061534,5.00E-06,0.381716,7.933941,-4.833812,0
BESC-170,62.302424,0.619952,1.47867,0,1.247653,1.017559,0.893835,16.649618,0.06042,9.530861,-1.057973,0.06676,2.50E-05,-0.062605,0.752338,-0.000864,-0.000241
BESC-171,33.012575,0.356039,3.422066,0,0.656979,0.920336,0.821502,11.853508,0.039537,6.178551,-0.486263,0.042542,1.70E-05,0.334366,4.2921,-1.532423,0
BESC-173,93.827485,0.503586,1.038223,0,2.38954,1.109409,0.777269,21.997991,0.037488,10.804398,-0.854625,0.040239,0.000542,-0.311217,0.778798,-0.000443,-0.000272
BESC-181,43.58208,3.656869,5.580872,0,0,0.94745,0.955027,83.9741,0.038825,7.105555,-3.457383,0.040951,1.40E-05,0.376081,3.451991,-1.385447,0
BESC-183,34.139483,1.518192,4.997497,0,0.005064,0.891094,0.955777,39.474845,0.042288,7.880368,-1.795632,0.04859,2.90E-05,0.364947,3.710027,-1.703578,0
BESC-184,89.15358,1.67176,0.656155,0,2.334482,1.104916,0.832584,38.451414,0.052519,11.385327,-2.195715,0.061903,0.000201,0.523057,2.789033,-0.852663,0
BESC-191,50.562446,1.742262,3.959529,0,0,1.03721,0.852531,37.770745,0.049627,8.531443,-1.804339,0.044485,1.00E-06,0.017325,0.763956,-0.001311,-0.000159
BESC-2,57.295209,4.697603,1.937773,0,0.547636,0.79542,1.12139,104.06645,0.044436,10.799068,-5.405476,0.059185,0.000295,0.485959,9.569309,-7.231436,0
BESC-202,9.872654,0,0,0,0,0.808336,0.776372,NA,NA,2.583161,1.10868,0.000988,0,0.056127,0.597931,-0.002254,-1.50E-05
BESC-204,70.30256,0.657461,1.865163,0,1.813636,0.956109,0.943562,14.559674,0.056004,10.218254,-0.846884,0.060376,6.70E-05,0.447637,9.482437,-5.209652,0
BESC-205,39.729305,0,3.009624,0,1.305394,0.900279,0.862182,5.045961,0.050102,6.184318,-0.25788,0.052122,2.00E-06,0.057162,0.680279,-0.001114,-0.000131
BESC-208,68.689728,0.428746,1.071087,0,2.105679,1.009485,0.885621,16.808687,0.051757,11.122306,-0.902624,0.055683,0.000173,-0.150446,0.743545,-0.000676,-0.000273
BESC-209,26.514799,0.868769,10.317922,0,0,1.028398,0.623137,17.563162,0.033376,3.743547,-0.632425,0.038763,1.00E-06,0.067872,0.718955,-0.00255,-2.30E-05
BESC-214,77.868549,0.207276,2.820805,0,0.338204,1.005707,0.234508,12.790975,0.048829,6.984308,-0.652148,0.053198,1.00E-05,0.363544,5.325984,-2.146165,0
BESC-215,97.921602,2.188459,1.185002,0,1.741908,1.017694,0.804741,44.992924,0.053877,13.355916,-2.637291,0.063566,0.000417,0.48007,9.00301,-6.586462,0
BESC-220,55.564832,2.301268,2.857429,0,2.17477,1.013751,0.897775,51.642972,0.044968,6.543562,-2.765,0.063034,1.40E-05,0.42071,5.67923,-2.36544,0
BESC-227,67.9796,1.427367,1.687474,0,0.626546,1.072805,0.885736,30.541772,0.037471,10.712763,-1.145363,0.037503,1.00E-06,-0.765996,0.770186,-0.000636,-0.000387
BESC-228,91.663492,1.235119,1.755955,0,0.288147,1.02248,0.785173,24.799053,0.06222,13.958696,-1.623919,0.068835,6.00E-06,0.410749,5.94086,-2.837154,0
BESC-229,118.479186,2.458302,1.160522,0,3.302814,1.033243,0.890043,48.093885,0.053857,14.035859,-2.820528,0.063648,0.000536,0.527615,6.668395,-3.364843,0
BESC-230,52.933974,0.2044,2.428609,0,0.963254,1.032505,0.814624,3.238753,0.053921,8.780902,-0.176303,0.054953,2.70E-05,0.384183,8.443524,-4.006576,0
BESC-231,31.895792,0.726707,1.045944,0,1.355634,0.991292,0.785167,20.643599,0.038601,5.010298,-0.861747,0.045042,4.00E-06,0.066574,0.717359,-0.00158,-8.50E-05
BESC-24,25.11655,0,0,0,0,1.063695,0.710686,NA,0.002354,NA,2.678526,0.002446,0.002542,0.07015,0.766494,-0.001863,-7.50E-05
BESC-243,111.541063,1.571746,0.62604,0,2.24706,0.975894,0.857324,32.623164,0.061067,17.684954,-2.095493,0.067476,0.000885,-0.12635,0.722121,-0.000598,-0.000257
BESC-245,94.00631,2.94032,1.786328,0,0.175448,1.06124,0.868371,54.293769,0.055612,16.054811,-2.941122,0.051581,0.000147,-0.417239,0.759266,-0.000609,-0.000327
BESC-247,24.448825,0,0,0,0,0.952675,0.571876,NA,NA,4.398048,1.114755,0.009072,2.50E-05,0.066607,0.680611,-0.001386,-9.30E-05
BESC-25,96.911524,2.581929,1.03321,0,2.868931,1.048129,0.896552,47.913024,0.052574,9.492422,-2.861263,0.067393,7.20E-05,-0.125284,0.764016,-0.000689,-0.000272
BESC-250,54.761667,2.503782,0,2.175856,0,0.966674,0.962581,51.126299,0.052605,11.52498,-2.744747,0.05372,4.00E-05,-0.096272,0.740873,-0.000849,-0.000251
BESC-259,34.603681,1.558546,4.060538,0,0,0.880291,0.948005,34.99824,0.04252,7.628688,-1.635466,0.051179,5.40E-05,0.061848,0.713104,-0.001475,-9.70E-05
BESC-26,172.179966,0.313689,1.657752,0,1.036645,1.086436,0.1,13.102928,0.054104,9.274785,-0.735267,0.058169,4.20E-05,0.45587,5.818641,-2.474055,0
BESC-264,12.503225,0.430531,0,0,0,0.950146,0.936651,13.208008,0.046693,2.736561,-0.690235,0.058234,0,0.217723,6.817653,-3.714766,0
BESC-265,29.566372,1.598308,0.243743,2.566729,0,0.892443,0.983225,43.382181,0.042856,6.859902,-2.121157,0.055415,2.50E-05,0.370512,5.975984,-3.290349,0
BESC-268,52.222576,0.857852,2.543011,0,1.816029,0.953983,0.929422,19.66388,0.049681,7.992781,-1.036151,0.055812,2.60E-05,0.405336,4.070049,-1.486662,0
BESC-269,57.991202,1.655292,1.911471,0,0.126426,0.996914,0.969819,37.386555,0.057545,12.462584,-2.155433,0.056987,2.40E-05,0.456801,2.414841,-0.839311,0
BESC-271,67.479451,1.445482,0.958277,0,0.873722,1.03552,0.84296,31.879762,0.055121,10.769168,-1.898617,0.064186,0.000113,0.451593,5.38695,-2.189168,0
BESC-272,139.482208,3.080954,3.396778,0,1.11649,1.062369,0.170313,73.257471,0.038215,6.43686,-3.470762,0.057754,4.10E-05,0.440621,9.166326,-4.848298,0
BESC-273,21.520818,0.899156,9.021932,1.033223,0,1.032203,0.832218,18.9768,0.04042,3.335171,-0.860408,0.050627,0,0.262631,4.432654,-1.999702,0
BESC-275,111.430327,3.285772,0.841024,0,2.098195,1.048994,0.792535,68.360088,0.046954,14.564613,-3.549695,0.057147,0.001054,-0.069727,0.745687,-0.000576,-0.000247
BESC-276,76.272819,2.11121,1.498196,0,0.51376,1.006049,0.938544,45.432109,0.051235,13.231386,-2.411615,0.054555,0.000175,-0.445874,0.76922,-0.000605,-0.000333
BESC-279,27.042232,0,0,0,0,1.040381,0.956353,7.563923,0.052238,7.811898,-0.404856,0.054831,1.40E-05,0.433873,4.06999,-1.321724,0
BESC-28,27.446777,0.692343,4.545215,0,0.012075,0.87135,0.780379,16.875911,0.0424,5.84308,-0.757382,0.047435,5.00E-06,0.268339,9.253211,-6.103344,0
BESC-286,36.137818,0,2.775913,0,0.542024,0.828238,0.906217,1.088479,0.042471,8.74814,-0.046346,0.042686,0.000105,0.071589,0.650538,-0.000998,-0.000126
