id,cnbf-28-4,dena-17-1,fnyi-28-3,glcb-26-1,homd-21-4,hopf-27-1,hopf-27-5,hopg-27-5,hrsp-27-4,klnd-20-3,klng-20-3,klng-20-7,mcmn-27-3,sqma-25-1,sqmb-25-4,chwh-27-1.csv,gw-11053.csv,skwe-24-1.csv,whte-28-4,klng-20-4,klnc-20-2,gw-11027,besc-36,besc-881,besc-886,besc-183
Av_Diameter_mm,9.265,7.455,4.31,5.11,6.105,11.525,10.59,12.465,7.92,11.705,9.585,5.3,9.42,7.945,11.58,9.23,14.28,12.115,12.945,12.645,5.855,9.54,8.21,9.205,9.675,12.675
Height_cm,173,154,85,81,141,218.5,226,225,170,192.5,220,86,155,172.5,231,167,217,254,224.5,268,106,149,135,222,237,265.5
Leaf_Area_cm2,28.61,61.19,19.64,7.3,49.86,44.02,66.29,69.6,41.61,136.03,75.13,20.26,67.88,75.61,65.92,58.75,67.27,36.29,32.11,158.24,48.38,89.48,80.88,193.23,89.48,32.84
SLA_mg/cm2,1.493506494,3.571428571,1.233766234,2.597402597,3.246753247,2.922077922,2.922077922,6.233766234,2.532467532,5.324675325,4.415584416,1.623376623,2.207792208,4.025974026,5,3.376623377,5.779220779,5.064935065,2.857142857,5.324675325,2.272727273,4.545454545,2.727272727,3.766233766,3.506493506,3.181818182
Pres_Air_KPa,99.15,98.91,98.7,98.86,99.05,98.8,99.22,99.32,99.38,98.97,99.14,98.86,99.05,98.85,99.01,99.2,98.93,98.97,99.27,99.27,98.85,98.74,98.85,98.86,98.72,98.99
Trmmol_mmolm_2s_1,1.01,1.54,1.29,2.61,1.19,2,1.15,1.26,1.39,1.79,2.87,0.63,1.42,0.81,2.37,1.44,1.54,0.22,0.51,0.96,0.24,1,1.01,0.49,0.41,0.47
Resistwp_Pasm2umol_1,5.66,5.11,5.69,5.19,7.09,1.48,1.51,1.88,0,0,2.71,0,1.63,0,8.28,1.32,0.32,0,1.53,0.8,0.63,1.86,0,1.81,2.06,13.38
CO2i_Pred_Pa,31.56,30.33,32.32,33.27,30.91,27.4,29.56,29.45,28.87,31.75,31.46,31.38,26.3,34.43,37.04,24.75,32.25,22.14,24.22,30.34,12.28,25.12,27.19,20.85,18.91,31.04
LeafTemp_oC,25.19,26.15,27.77,25.36,25.88,26.77,24.99,25.12,25,24.83,24.94,24.82,24.99,24.65,24.93,26.59,26.7,27.75,25.71,25.86,26.55,26.55,26.88,26.58,26.68,28.11
Resistwp25_Pasm2umol_1,5.73,5.52,6.82,5.31,7.52,1.66,1.51,1.9,0,0,2.7,0,1.63,0,8.24,1.47,0.35,0,1.6,0.85,0.7,2.06,0,2.01,2.3,16.43
