num_id,id,Duplicate,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS,ALightcurveNo,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept,der_atPhiPSIIend
1,besc-103.csv,Unique,15.42,263.5,39.12,5.811688312,21.167147,0.663618,0,6.129097,0,0.92728,0.957157,0.280476,1.611713,2.967024,1,11.048104,0.03221,5.262081,-0.36766,0.034367,0.000018,0.073454,0.74294,-0.002236,-0.00004
2,besc-106.csv,Unique,17.465,298.5,60.85,7.554112554,72.890424,3.098944,2.245975,0,0.272381,1.003076,0.861698,0.346571,0.995951,0.084321,1,62.974905,0.049633,11.002465,-3.361527,0.056441,0.000094,0.449977,5.926827,-3.475833,0
3,besc-107.csv,Unique,7.715,144,50.07,5.298701299,66.750754,4.718437,2.385527,0,1.872056,1.053862,0.906018,0.29521,0.863162,0.905185,1,126.00049,0.031642,7.203049,-5.188118,0.052064,0.00024,0.51033,8.40332,-4.494505,0
4,besc-11.csv,Unique,12.645,230,41.41,4.87012987,104.182228,1.94673,1.055914,0,1.56279,1.016411,0.913932,0.444848,0.370158,6.679635,1,33.746284,0.061454,15.376752,-2.161258,0.066523,0.000238,0.509921,7.206651,-4.523835,0
5,besc-110.csv,Unique,15.47,285.5,34.37,13.7012987,46.637279,1.084882,2.547,0,0.315096,1.06272,0.955369,0.298607,1.704029,0.014379,1,26.037262,0.050965,7.730693,-1.316046,0.04936,0,-0.089248,0.784807,-0.000987,-0.000254
6,besc-113.csv,Unique,14.15,227.5,91.66,4.415584416,45.826385,0.664604,0,2.699929,0,1.034205,0.845477,0.306273,1.127188,0.013568,1,16.888712,0.05593,10.552593,-0.985504,0.060835,0.000085,0.402911,6.178621,-3.551325,0
7,besc-118.csv,Unique,14.835,281.5,62.18,8.614718615,68.138078,4.627835,1.694817,0,2.147879,1.048282,0.922814,0.3014,0.889091,2.079034,1,113.539216,0.033408,7.61352,-4.839713,0.053174,0.000251,-0.10571,0.780602,-0.000726,-0.000271
8,besc-119.csv,Unique,16.04,231,64.85,4.155844156,150.221791,1.656479,1.838016,0,3.116533,1.052605,0.565508,0.558958,2.473842,0.000156,1,28.348032,0.063076,8.452699,-1.980492,0.077066,0.000008,0.006989,0.754376,-0.000981,-0.000203
9,besc-12.csv,Unique,12.35,289,68,12.02922078,129.686653,1.200228,1.042329,0,5.549646,1.098824,0.85562,0.578208,0.499784,0.812174,1,20.736611,0.061411,12.437416,-1.336001,0.067524,0.00014,0.499665,4.905602,-1.948513,0
10,besc-126.csv,Unique,14.99,282,71.14,7.142857143,59.025181,2.146161,1.754959,0,1.312083,1.024443,0.967153,0.298305,1.745382,2.838235,1,52.259092,0.046132,7.660999,-2.806969,0.061973,0.000037,0.508038,3.365809,-1.564736,0
11,besc-13.csv,Unique,12.715,182,58.3,3.051948052,18.731123,1.104698,3.094061,3.945694,0,0.735078,1.168821,0.370732,1.376873,4.264185,1,20.005815,0.037229,4.076382,-0.815369,0.044489,0.000001,0.054469,0.72204,-0.002731,-0.00002
12,besc-133.csv,Unique,10.155,181,34.31,2.489177489,23.915141,1.4641,0,0,0,0.894073,0.903704,0.381949,0.987283,0.003793,1,29.635244,0.041045,4.22087,-1.404207,0.054306,0,0.054585,0.682076,-0.002498,-0.000021
13,besc-134.csv,Unique,15.27,289,44.89,7.229437229,31.132283,5.294505,17.305487,0,0,0.968714,0.947792,0.251491,1.925215,2.037009,1,227.813471,0.014089,2.82887,-5.838945,0.041786,0.000107,0.39458,6.47944,-3.509701,0
14,besc-135.csv,Sameleaf_Dup,10.8,193,117.09,5.064935065,67.667929,1.855029,1.158849,0,1.254319,1.098431,0.826061,0.199166,1.996351,0.028125,1,75.192568,0.03287,9.400222,-2.766343,0.040862,0.0005,-0.500785,0.776582,-0.000425,-0.000285
15,Besc-135.csv,Unique,10.8,193,117.09,5.064935065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35.17867,0.047059,2.097518,-2.50053,0.101846,0.000012,0.647594,9.822144,-7.059817,0
16,besc-14.csv,Unique,9.05,211,36.88,3.506493506,25.099251,0.980323,14.922493,0,0,0.867851,0.329851,0.342002,0.662538,0,1,27.469566,0.027033,2.239173,-0.878357,0.03747,0,0.18179,9.13581,-5.926933,0
17,Besc-141.csv,Unique,8.115,185,48.86,2.727272727,41.790787,0,1.412549,0,0.962834,0.872693,0.853207,0.177038,0.77151,0.118079,1,-34.007062,0.018348,8.167087,0.615743,0.017853,0.000283,-0.485806,0.646541,-0.000458,-0.000282
18,besc-144.csv,Unique,7.325,189,57.24,2.467532468,9.282505,0.07966,0,0,0,0.783859,0.780948,0.186526,0.562913,0.000095,1,8.487302,0.028095,2.332846,-0.250899,0.031077,0,0.052086,0.568512,-0.002087,-0.000016
19,besc-145.csv,Unique,9.53,237.5,36.94,5,58.406537,1.007295,2.544075,0,0.207251,0.927093,0.908905,0.328713,0.62931,2.596699,1,23.293299,0.050118,11.121632,-1.203513,0.053152,0.000077,-0.041763,0.708957,-0.000804,-0.000223
20,besc-148.csv,Unique,17.035,316,46.92,9.512987013,50.622374,0.915431,0,0,0,1.090023,0.1,0.104137,2.149842,0.000006,1,45.004344,0.0337,2.361059,-2.113429,0.063182,0,0.065137,0.786553,-0.001363,-0.000142
