id,Duplicate,Date,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Pres_Air_KPa,Trmmol_mmolm_2s_1,Resistwp_Pasm2umol_1,CO2i_Pred_Pa,LeafTemp_oC,Resistwp25_Pasm2umol_1,thetafactor,corrphi,corrAnnet,Anet_Pred_umolm_2s_1,Anet_Obs_umolm_2s_1,PARi_umolm_2s_1,StomatalCond_H2O_molm_2s_1,Pres_O2_KPa,CO2S_Pa,Pres_H2O_KPa,PhiPSII_obs,PhiPSII_pred,ChamberAirTemp_oC,PARi,Resistch_Pasm2umol_1,SumSquare_NA,gamma_Pa,Jmax25,CurveID_NA,TempLeaf,betaPSII_NA,CO2c_Pa,VPDL_KPa,CO2i_obs_Pa,ChlFlPHIPSII_Obs_NA,gamma25_Pa,Rdlight_umolm_2s_1,SumSquare,Rdlight25_umolm_2s_1,phifactor,Resistch25_Pasm2umol_1
besc-103.csv,Unique,8/18/2014,15.42,263.5,39.12,5.811688312,98.22,1.01,0,31.15,26.36,0,0.96,1,0.98,4.69,4.38,347.86,0.09,20.58,39.31,2.33,0.31,0.3,25.58,298.3,5.6,1.61,0,21.17,NAxxxx,26.25,0.28,0.58,1.06,31.15,0.28,0,0.72,2.97,0.66,0.93,6.13
besc-106.csv,Unique,8/18/2014,17.465,298.5,60.85,7.554112554,98.75,0.63,2.17,28.4,25.48,2.25,0.86,0.99,1,8.63,8.54,349.1,0.13,20.69,39.51,2.73,0.63,0.63,25.45,149.31,0,1,0.28,72.89,NAxxxx,25.4,0.35,9.6,0.48,28.4,0.51,0.27,3.19,0.08,3.1,1,0
besc-107.csv,Unique,8/8/2014,7.715,144,50.07,5.298701299,98.68,1.29,2.14,33.6,26.63,2.39,0.91,1,1,4.63,4.42,349.63,0.13,20.67,39.51,2.48,0.62,0.61,25.74,297.81,0,0.86,1.98,66.75,NAxxxx,26.46,0.3,23.7,0.96,33.6,0.58,1.87,5.23,0.91,4.72,1.05,0
besc-11.csv,Unique,8/6/2014,12.645,230,41.41,4.87012987,99.04,1.18,0.94,26.52,26.8,1.06,0.91,1,1,11.74,11.75,350.8,0.15,20.75,39.68,2.68,0.61,0.61,25.93,300.74,0,0.37,1.66,104.18,NAxxxx,26.61,0.44,15.52,0.78,26.52,0.58,1.56,2.18,6.68,1.95,1.02,0
besc-110.csv,Unique,8/20/2014,15.47,285.5,34.37,13.7012987,98.9,0.79,2.34,21.48,26.25,2.55,0.96,1,0.99,7.28,7.25,350.26,0.07,20.72,39.21,2.23,0.71,0.71,25.66,100.83,0,1.7,0.33,46.64,NAxxxx,25.61,0.3,3.97,1.14,21.48,0.5,0.32,1.17,0.01,1.08,1.06,0
besc-113.csv,Unique,8/6/2014,14.15,227.5,91.66,4.415584416,98.79,1.15,0,27.48,26.64,0,0.85,1,1,9.15,8.76,351.21,0.12,20.7,39.56,2.52,0.61,0.62,25.84,149.39,2.42,1.13,0,45.83,NAxxxx,26.28,0.31,3.53,0.92,27.48,0.44,0,0.74,0.01,0.66,1.03,2.7
besc-118.csv,Unique,8/20/2014,14.835,281.5,62.18,8.614718615,98.78,1.66,1.64,33.58,25.53,1.69,0.92,1,1,5.04,4.76,350.29,0.15,20.69,39.2,2.18,0.6,0.61,25.38,298.29,0,0.89,2.19,68.14,NAxxxx,25.39,0.3,25.35,1.06,33.58,0.57,2.15,4.78,2.08,4.63,1.05,0
besc-119.csv,Unique,8/5/2014,16.04,231,64.85,4.155844156,99.13,1.08,1.53,25.02,27.77,1.84,0.57,1,0.99,7.72,7.25,349.78,0.08,20.77,39.69,2.42,0.69,0.69,26.09,73.53,0,2.47,3.41,150.22,NAxxxx,27.3,0.56,13.2,1.27,25.02,0.48,3.12,1.97,0,1.66,1.05,0
besc-12.csv,Unique,8/13/2014,12.35,289,68,12.02922078,98.87,2.3,0.95,31.25,26.47,1.04,0.86,1,1,10.1,9.9,351.36,0.21,20.71,39.57,2.32,0.64,0.63,25.97,249.91,0,0.5,5.83,129.69,NAxxxx,26.34,0.58,21.71,1.09,31.25,0.56,5.55,1.32,0.81,1.2,1.1,0
besc-126.csv,Unique,8/14/2014,14.99,282,71.14,7.142857143,98.91,0.81,1.51,21.98,27.26,1.75,0.97,1,0.99,6.68,6.26,349.6,0.06,20.72,39.62,2.24,0.62,0.63,26.06,301.19,0,1.75,1.41,59.03,NAxxxx,27.16,0.3,11.88,1.34,21.98,0.59,1.31,2.47,2.84,2.15,1.02,0
