CurveID,FitWallResist?,FitChloResist?,FitGamma*?,FitKc?,FitKo?,FitRd?,FitAlpha?,FitbetaPSII?,LimitState,Vcmax25,Jmax25,Rdlight25,Resistwp25,Resistch25,tpu25,gamma*25,fkc25,fko25,alpha,ha_vcmax,hd_vcmax,sv_vcmax,ha_jmax,hd_jmax,sv_jmax,ha_tpu,hd_tpu,sv_tpu,ha_gmeso,hd_gmeso,sv_gmeso,ha_darkresp,ha_stargamma,ha_kc,ha_ko,phifactor,thetafactor,betaPSII,numrubisco,numrubp,numtpu,NumSamplePoints,SumSquare,siteID,Latitude,Longitude,Elevation,yearsampled,sampledoy,GrowingSeasonStart,GrowingSeasonEnd,standage,CanopyHeight,LeafAreaIndex,species,avetimeresolution,avetimesampled,SampleHeight,Needleage,specificLAI,nitrogencontent,carboncontent,phosphoruscontent
NA,0=No1=Yes,0=No1=Yes,0=No1=Yes,0=No1=Yes,0=No1=Yes,0=No1=Yes,0=No1=Yes,0=No1=Yes,Occurrence,umolm-2s-1,umolm-2s-1,umolm-2s-1,Pasm2umol-1,Pasm2umol-1,umolm-2s-1,Pa,Pa,Pa,0_1,kJmol-1,kJmol-1,KJmol-1K-1,kJmol-1,kJmol-1,KJmol-1K-1,kJmol-1,kJmol-1,KJmol-1K-1,kJmol-1,kJmol-1,KJmol-1K-1,kJmol-1,kJmol-1,kJmol-1,kJmol-1,NA,NA,NA,rubispoints,rubppoints,tpupoints,<=rubis+rubp+tpu,NA,NA,DegNorthPositive,DegEastPositive,m,Year,DayofYear,DayofYear,DayofYear,years,m,m2m-2,species,minutes,HourFraction,m,days,cm2g-1,%,%,%
besc-103.csv,0,0,0,0,0,1,0,1,RubiscoRuBpTpu,17.847165,31.444192,0.449176,0,0,1.620855,3.743,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.035612,0.811943,0.374671,4,5,1,10,3.779642,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-103,3.005556,15.475778,-9999,-9999,-9999,-9999,-9999,-9999
besc-103.csv,0,0,1,0,0,1,0,1,RubiscoRuBp,16.168048,21.971752,0.555487,0,0,NaN,0,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.033908,0.824131,0.265846,4,6,0,10,1.974757,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-103,3.005556,15.475778,-9999,-9999,-9999,-9999,-9999,-9999
besc-103.csv,1,0,0,0,0,1,0,1,RubiscoRuBpTpu,17.847144,31.44415,0.449172,0,0,1.620853,3.743,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.035612,0.811943,0.37467,4,5,1,10,3.779642,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-103,3.005556,15.475778,-9999,-9999,-9999,-9999,-9999,-9999
besc-103.csv,1,0,1,0,0,1,1,1,RubiscoRuBpTpu,16.148014,22.285916,0.555831,0,0,1.66741,0,27.238,16582,1,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.035558,0.813327,0.265947,3,5,2,10,1.969145,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-103,3.005556,15.475778,-9999,-9999,-9999,-9999,-9999,-9999
besc-103.csv,1,1,0,0,0,1,0,1,RubiscoRuBpTpu,17.847213,31.444287,0.449187,0,0,1.620859,3.743,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.035612,0.811942,0.374672,4,5,1,10,3.779642,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-103,3.005556,15.475778,-9999,-9999,-9999,-9999,-9999,-9999
besc-103.csv,1,1,1,0,0,1,0,1,RubiscoRuBp,16.168047,21.971752,0.555487,0,0,NaN,0,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.033908,0.824131,0.265846,4,6,0,10,1.974757,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-103,3.005556,15.475778,-9999,-9999,-9999,-9999,-9999,-9999
ALightcurveNo,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept,der_atPhiPSIIend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,umolm-2s-1,umol/umol,umolm-2s-1,umolm-2s-1,umol/umol,umol/umol,NA,NA,umol-1m2s,umol-1m2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.048104,0.03221,5.262081,-0.36766,0.034367,0.000018,0.073454,0.74294,-0.002236,-0.00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
besc-106.csv,0,0,0,0,0,1,0,1,RubiscoRuBp,53.137378,95.362283,2.886432,0,0,NaN,3.743,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.030776,0.81883,0.436953,3,7,0,10,6.169837,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-106,2.227778,11.717333,-9999,-9999,-9999,-9999,-9999,-9999
besc-106.csv,0,0,1,0,0,1,1,1,RubiscoRuBpTpu,47.080098,70.706493,2.655214,0,0,4.154408,1.087698,27.238,16582,0.428502,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.033143,0.815869,0.323462,2,7,1,10,5.51204,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-106,2.227778,11.717333,-9999,-9999,-9999,-9999,-9999,-9999
besc-106.csv,1,0,0,0,0,1,0,1,RubiscoRuBp,55.426734,97.334657,2.939383,0.115189,0,NaN,3.743,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.030599,0.818758,0.445895,3,7,0,10,6.153706,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-106,2.227778,11.717333,-9999,-9999,-9999,-9999,-9999,-9999
besc-106.csv,1,0,1,0,0,1,0,1,RubiscoRuBp,159.328661,74.174523,2.961029,2.053413,0,NaN,0.33041,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.033705,0.809366,0.336975,3,7,0,10,4.641216,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-106,2.227778,11.717333,-9999,-9999,-9999,-9999,-9999,-9999
besc-106.csv,1,1,0,0,0,1,0,1,RubiscoRuBp,57.93729,99.464531,2.989527,0,0.148063,NaN,3.743,27.238,16582,0,65.33,0,0,43.54,0,0,53.1,201.8,0.65,49.6,437.4,1.4,46.39,24.46,80.99,23.72,1.030396,0.818814,0.455618,3,7,0,10,6.119443,-9999,-9999,-9999,-9999,2014,178,-9999,-9999,-9999,-9999,-9999,besc-106,2.227778,11.717333,-9999,-9999,-9999,-9999,-9999,-9999
