id,cnbf-28-4,dena-17-1,fnyi-28-3,glcb-26-1,homd-21-4,hopf-27-1,hopf-27-5,hopg-27-5,hrsp-27-4,klnd-20-3,klng-20-3,klng-20-7,mcmn-27-3,sqma-25-1,sqmb-25-4,chwh-27-1.csv,gw-11053.csv,skwe-24-1.csv,whte-28-4,klng-20-4,klnc-20-2,gw-11027,besc-36,besc-881,besc-886,besc-183
Av_Diameter_mm,10.525,7.775,4.22,4.99,6.03,10.755,7.435,13.445,9.205,10.26,10.61,10.415,8.625,8.045,8.02,2.265,4.485,,12.945,12.645,5.855,9.54,8.21,9.205,9.675,12.675
Height_cm,213,153,86,79.5,146,207,90.5,218,209,218,187,142,141,177,136,31,96,,224.5,268,106,149,135,222,237,265.5
Leaf_Area_cm2,46.24,,31.7,11.1,31.68,112.74,55.53,52.9,90.25,118.02,59.45,51.43,45.76,34.47,53.79,29.02,50.93,,43.83,153.37,48.38,73.96,80.88,193.23,89.48,55.79
SLA_mg/cm2,5.194805195,,1.948051948,1.558441558,3.441558442,4.415584416,2.792207792,4.285714286,3.766233766,4.87012987,3.376623377,2.272727273,2.402597403,2.467532468,3.961038961,1.298701299,1.233766234,,3.766233766,4.74025974,2.272727273,4.545454545,2.727272727,3.766233766,3.506493506,3.463203463
Pres_Air_KPa,98.92,98.73,98.83,98.77,98.88,99.34,98.56,98.61,98.57,98.4,98.36,98.63,98.55,98.96,98.92,98.81,98.49,98.73,98.97,98.98,98.99,98.87,98.82,98.95,98.98,99.19
Trmmol_mmolm_2s_1,2.36,0.73,1.06,1.16,1.4,1.29,1.41,1.72,0.98,2.08,2.67,2.41,1.66,0.59,1.83,0.84,1.1,1.19,0.32,0.39,0.62,1.61,2.07,1.65,0.45,1.46
Resistwp_Pasm2umol_1,0.11,5.08,7.52,5.32,3.45,1.55,1.5,0.51,1.54,1.42,0.81,1,1.91,1.97,1.9,0,5.13,3.25,0,0.73,4.7,4.68,3.06,1.77,1.7,4.14
CO2i_Pred_Pa,31.73,25.93,30.69,29.93,28.56,26.47,30.28,27.31,22.7,27.3,30.68,30.56,28.39,17.07,32.96,27.17,28.07,28.27,16.79,12.71,23.92,33.23,31.34,27.89,15.51,30.91
LeafTemp_oC,28.4,26.84,28.34,27.16,27.1,26.06,27.8,27.42,27.59,26.45,25.69,25.7,26.84,27.95,26.91,27.37,27.66,29.59,26.82,26.35,27.46,27.72,27.56,26.87,27.4,27.84
Resistwp25_Pasm2umol_1,0.14,5.74,9.37,6.14,3.97,1.66,1.81,0.59,1.83,1.56,0.85,1.05,2.16,2.39,2.16,0,6.11,4.38,0,0.8,5.53,5.6,3.63,2,2,5
